title,genres,release_year,overview,imdb_id,budget,revenue,vote_average,vote_count,release_decade
Patton Oswalt: Finest Hour,Comedy,2011,"Patton Oswalt brings his deeply insightful, creative comedy to topics such as trying to be a good example for his daughter, his bewilderment at why we still have circuses, and his run-ins with crack addicts in New York.",tt2060540,0,0.0,8.0,3.0,2010-2019
The Green,Drama,2011,"Michael Gavin and his partner Daniel trade the rat race of New York City for the idyllic charm of the Connecticut shoreline, with hopes of a simpler life and time for Michael to finish his first novel. All that changes when one of Michael's high school students accuses him of 'inappropriate conduct', and the town rushes to judgment.",tt1720263,0,0.0,5.6,7.0,2010-2019
The Witches of Oz,"Action, Drama, Fantasy",2011,"The Witches of Oz follows the exploits of the grown Dorothy Gale, now a successful children's book author, as she moves from Kansas to present day New York City. Dorothy quickly learns that her popular books are based on repressed childhood memories, and that the wonders of Oz are very, very real. When the Wicked Witch of the West shows up in Times Square, Dorothy must find the inner courage to stop her.",tt1592287,0,0.0,4.3,17.0,2010-2019
Donald Glover: Weirdo,Comedy,2011,"Donald Glover dispenses excess hysterics in his new one-hour World Premiere Stand-Up Special. Filmed at the Union Square Theatre in New York City, Glover shares his unique childhood tales about his unrequited love for Cocoa Puffs, his burning desire to voyage to Toys""R""Us and the ins and outs of the N word. Glover utilizes his unique brand of comedic storytelling and a keen youthful narrative to churn out an uncanny amount of guffaws in his first-ever Comedy Central one-hour special.",tt2345525,0,0.0,6.9,15.0,2010-2019
Uncle Kent,"Drama, Comedy, Romance",2011,A pothead kid's show cartoonist in Los Angeles spends a weekend trying to sleep with his visiting house guest - a woman from New York who he met on Chatroulette.,tt1787831,0,0.0,6.1,6.0,2010-2019
Justin Bieber: Never Say Never,"Documentary, Music, Family",2011,"Tells the story of Justin Bieber, the kid from Canada with the hair, the smile and the voice: It chronicles his unprecedented rise to fame, all the way from busking in the streets of Stratford, Canada to putting videos on YouTube to selling out Madison Square Garden in New York as the headline act during the My World Tour from 2010. It features Usher, Scooter Braun, Ludacris, Sean Kingston, Antonio ""L.A."" Reid, Boyz II Men, Miley Cyrus, Jaden Smith, Justin's family members and parts of his crew and huge fanbase in a mix of interviews and guest performances. It was released in 3D in theaters all around the world and is the highest grossing concert movie of all time, beating the previous record held by Michael Jackson's This Is It from 2009.",tt1702443,13000000,98441954.0,4.8,156.0,2010-2019
Limelight,Documentary,2011,"A film about Peter Gatien, the owner of legendary New York nightclubs like Limelight, The Tunnel and the Palladium. The film documents his rise and fall from the 1980s through the 1990s.",tt1418702,0,0.0,5.4,4.0,2010-2019
Dream House,"Drama, Thriller, Mystery",2011,"Publisher, Will Atenton quits a lucrative job in New York to relocate his wife, Libby and their daughters to a quaint town in New England. However, as they settle into their home the Atentons discover that a woman and her children were murdered there, and the surviving husband is the town's prime suspect. With help from a neighbor who was close to the murdered family, Will pieces together a horrifying chain of events.",tt1462041,50000000,38502340.0,5.8,401.0,2010-2019
Christmas Magic,"TV Movie, Family",2011,"Carrie Bishop (Booth) lives for her successful career as an event planner in New York City, but her life changes in an instant after a nasty car accident in a snowstorm. Carrie suffers head trauma and regains consciousness in Central Park with an older man, Henry (Derek McGrath, ""Little Mosque on the Prairie""). Henry is Carrie's spirit guide and is there to help her ""pass over"" to Heaven. But before Carrie can move on, she must fulfill one last task on Earth - a type of Angel Duty. Henry tells Carrie that she must help guide a widowed, young restaurant owner, Scott Walker, (McGillion) who has recently considered suicide because his beloved restaurant/catering business is utterly failing. Carrie befriends Scott and his 8-year-old daughter and immediately displays a knack for promoting the restaurant. But time isn't on Carrie's side on this mission. She has until midnight Christmas Eve to turn the eatery around...",tt2112127,0,0.0,6.9,10.0,2010-2019
Girl Walk // All Day,Music,2011,"Girl Walk // All Day is a feature-length dance music video and tale of urban exploration that follows three dancers across New York City. They turn the city's sidewalks, parks, and stadiums into an evolving stage as a story of rebellion, love, and discovery unfolds. Shot entirely in public spaces, and funded entirely by crowd-sourcing, Girl Walk // All Day is a statement about the power of community and public space. Set to the album All Day by mashup musician Girl Talk, it's also an insanely fun love letter to New York.",tt2287749,0,0.0,7.1,7.0,2010-2019
A Very Harold & Kumar Christmas,Comedy,2011,"Six years have elapsed since Guantanamo Bay, leaving Harold and Kumar estranged from one another with very different families, friends and lives. But when Kumar arrives on Harold's doorstep during the holiday season with a mysterious package in hand, he inadvertently burns down Harold's father-in-law's beloved Christmas tree. To fix the problem, Harold and Kumar embark on a mission through New York City to find the perfect Christmas tree, once again stumbling into trouble at every single turn.",tt1268799,19000000,35387212.0,6.0,335.0,2010-2019
Magic Trip,Documentary,2011,"A freewheeling portrait of Ken Kesey and the Merry Prankster’s fabled road trip across America in the legendary Magic Bus. In 1964, Ken Kesey, the famed author of “One Flew Over the Cuckoo’s Nest,” set off on a legendary, LSD-fuelled cross-country road trip to the New York World’s Fair. He was joined by “The Merry Band of Pranksters,” a renegade group of counterculture truth-seekers, including Neal Cassady, the American icon immortalized in Kerouac’s “On the Road,” and the driver and painter of the psychedelic Magic Bus.",tt1235790,0,0.0,6.6,9.0,2010-2019
Mistletoe Over Manhattan,"TV Movie, Family",2011,"Rebecca, Mrs. Claus (Tedde Moore) is worried that her exhausted, workaholic husband (Mairtin O’Carrigan) has lost his holiday spirit. She believes she can help him recapture his bliss and secretly heads to the one place she knows the spirit of Christmas must still exist: New York City, where she first fell in love with Nick.  In a crowded New York diner, Rebecca befriends Joe (Greg Bryk), a caring cop who is worried about this kindly grandmother, who’s alone and low on funds. Joe reveals he and his wife Lucy (Tricia Helfer) are in the middle of a divorce. Sensing that Joe is still very much in love with his wife, Rebecca agrees to work temporarily as the family’s nanny until Christmas.  To Rebecca’s delight, by healing Joe and Lucy’s family, she shows Santa that Christmas miracles are still possible and his job’s more important than ever!",tt2064865,0,0.0,5.7,6.0,2010-2019
The Rum Diary,"Drama, Comedy",2011,"Tired of the noise and madness of New York and the crushing conventions of late Eisenhower-era America, itinerant journalist Paul Kemp travels to the pristine island of Puerto Rico to write for a local San Juan newspaper run by the downtrodden editor Lotterman. Adopting the rum-soaked lifestyle of the late ‘50s version of Hemingway’s “The Lost Generation,” Paul soon becomes entangled with a very attractive American woman, Chenaults and her fiancée Sanderson, a businessman involved in shady property development deals.  It is within this world that Kemp ultimately discovers his true voice as a writer and integrity as a man.",tt0376136,45000000,24000000.0,5.6,391.0,2010-2019
New Year's Eve,"Comedy, Romance",2011,The lives of several couples and singles in New York intertwine over the course of New Year's Eve.,tt1598822,56000000,142044638.0,5.7,744.0,2010-2019
Louis C.K.: Live at the Beacon Theater,Comedy,2011,"Recorded November 10th, 2011 as part of the New York Comedy Festival, and only available for purchase online, Louis C.K. follows up his 2010 concert film Hilarious with a new hour’s worth of shrewdly observed and periodically profane material. He starts with making his own kind of please-turn-off-your-cell-phone announcement, as well as a warning not to text or tweet during the show: “Just live your life,” he asks. Whether he’s talking about a unique way to drop a rental car off at an airport or describing why a man in his 40s should not smoke dope, it’s terrific, humane, carried-to-crazed-extremes stuff.",tt2112999,250000,1000000.0,8.1,80.0,2010-2019
There's Something Wrong with Aunt Diane,Documentary,2011,"HBO: Documentary Revisits the mysterious tragedy of Diane Schuler, who, on July 26, 2009, drove the wrong way on the Taconic Parkway in New York for nearly two miles and then smashed into an oncoming SUV, killing herself, her daughter, her three nieces and all three people in the other car. Premieres Monday, July 25 at 9pm.",tt2011325,0,0.0,6.7,22.0,2010-2019
Texas Killing Fields,"Drama, Thriller, Crime, Mystery",2011,"In the Texas bayous, a local homicide detective teams up with a cop from New York City to investigate a series of unsolved murders.",tt1389127,0,957240.0,5.7,133.0,2010-2019
My Last Day Without You,"Comedy, Drama, Romance",2011,"On a one-day business trip to New York, a young German business executive falls in love with a singer-songwriter who exposes him to her Brooklyn world and emotions he's never experienced before.",tt1679248,1000000,0.0,5.7,3.0,2010-2019
Triangle: Remembering the Fire,Documentary,2011,"On March 25, 1911, a catastrophic fire broke out at the Triangle Waist Company in New York City. Trapped inside the upper floors of a ten-story building, 146 workers - mostly young immigrant women and teenage girls - were burned alive or forced to jump to their deaths to escape an inferno that consumed the factory in just 18 minutes. It was the worst disaster at a workplace in New York State until 9/11. The tragedy changed the course of history, paving the way for government to represent working people, not just business, for the first time, and helped an emerging American middle class to live the American Dream.",tt1866282,0,0.0,0.0,0.0,2010-2019
The Trouble with Bliss,"Comedy, Drama",2011,"35-year-old Morris Bliss (Michael C. Hall) is clamped in the jaws of New York City inertia: he wants to travel but has no money; he needs a job but has no prospects; he still shares an apartment with his widowed father; and the premature death of his mother has left him emotionally walled up. When he finds himself wrapped up in an awkward relationship with Stephanie (Brie Larson), the 18-year-old daughter of a former classmate, Morris quickly discovers his static life unraveling and opening up in ways that are long overdue.",tt1483756,0,0.0,4.0,19.0,2010-2019
The Smurfs,"Animation, Family, Adventure, Comedy, Fantasy",2011,"When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world and into ours -- in fact, smack dab in the middle of Central Park. Just three apples high and stuck in the Big Apple, the Smurfs must find a way to get back to their village before Gargamel tracks them down.",tt0472181,110000000,563749323.0,5.5,1201.0,2010-2019
Cargo,"Drama, Thriller",2011,"A young Russian woman, smuggled into America by human traffickers, and a notorious Egyptian transporter hired to drive her from the Mexican border to New York City, form an unlikely bond that transforms them and threatens to derail the traffickers' plans.",tt1507261,0,0.0,4.1,6.0,2010-2019
The Flaw,"Documentary, Foreign",2011,"The story of the credit bubble that  caused the financial crash. Through interviews with some of the world's leading economists, including housing expert Robert Shiller, Nobel laureate Joseph Stiglitz, and economic historian Louis Hyman, as well as Wall Street insiders and victims of the crash including Ed Andrews - a former economics correspondent for The New York Times who found himself facing foreclosure - and Andrew Luan, once a bond trader at Deutsche Bank now running his own Wall Street tour guide business, the film presents an original and compelling account of the toxic combination of forces that nearly destroyed the world economy.",tt1787810,0,0.0,0.0,0.0,2010-2019
Company,Music,2011,"Following five couples and their friend Robert (Neil Patrick Harris), the perpetual bachelor, Company explores the true meaning of being in a relationship through a series of vignettes. Winner of the 1971 Tony Award for Best Musical, Neil Patrick Harris (How I Met Your Mother, Rent) will led an all-star cast in a sold out event at the New York Philharmonic.",tt1942831,0,0.0,7.0,4.0,2010-2019
Godfrey: Black By Accident,Comedy,2011,With his signature wide-eyed humor and treasure trove of voices Godfrey asks the questions that plague the depths of our being. Why do people duck in the rain and protect just one ear? What if guido bouncers ran the TSA? Stand-up live at New York City’s Gramercy Theatre.,tt2040292,0,0.0,8.0,2.0,2010-2019
A Family,Drama,2011,"Ditte owns a gallery, has a loving boyfriend and her dream job in New York is within reach. But Ditte is also the youngest generation of the famous bakery dynasty, Rheinwald, and when her beloved, but dominating father comes down with a serious illness, Ditte is faced with the grueling decision: To pursue her own dreams, or to continue the legacy of her family.",tt1568815,0,0.0,6.0,5.0,2010-2019
Happy,"Drama, Comedy, Documentary, Romance, Family, Foreign",2011,"Happy is a 2011 feature documentary film directed, written, and co-produced by Roko Belic. It explores human happiness through interviews with people from all walks of life in 14 different countries, weaving in the newest findings of positive psychology. Director Roko Belic was originally inspired to create the film after producer/director Tom Shadyac (Liar, Liar, Patch Adams, Bruce Almighty) showed him an article in the New York Times entitled ""A New Measure of Well Being From a Happy Little Kingdom"". The article ranks the United States as the 23rd happiest country in the world. Shadyac then suggested that Belic make a documentary about happiness. Belic spent several years interviewing over 20 people, ranging from leading happiness researchers to a rickshaw driver in Kolkatta, a family living in a ""co-housing community"" in Denmark, a woman who was run over by a truck, a Cajun fisherman, and more.",tt1613092,700000,0.0,7.1,21.0,2010-2019
Take Me Home,"Comedy, Romance",2011,"Soon after Thom starts operating as an illegal taxi driver in New York City, Claire hires him to drive her to California after her estranged father suffers a heart attack.",tt1261954,0,0.0,6.7,52.0,2010-2019
Jamie and Jessie Are Not Together,"Comedy, Romance",2011,"Jamie is moving in two weeks from Chicago to New York hoping to become a Broadway actress. Her best friend Jessica is bummed because she's not-so-secretly in love with Jamie. As moving day gets closer, Jessica tries to make Jamie jealous by dating other girls. But Jessica's plan backfires, in a way she could never imagine. Set in working class Chicago and infused with musical dance numbers, ""Jamie and Jessie are Not Together"" is a love letter to those gray areas of love and lust and to the young romances we will never forget.",tt1718807,0,0.0,4.6,4.0,2010-2019
The Extraordinary Voyage,"Adventure, Documentary, Fantasy",2011,"The miraculous discovery of a hand-colored print of the world-famous TRIP TO THE MOON, the 1902 Georges Melies film, that took 12 years to restore, and opened the Cannes Film Festival in May 2011. The story of this film, from its shooting more than a century ago to its spectacular revival in 2011, is the subject of THE EXTRAORDINARY VOYAGE, the film Serge Bromberg and Eric Lange just completed, which will world premiere at Moma, in New York, November 11, at 7pm, along with the George Melies film with a new spectacular sound track by French group AIR.",tt2134092,0,0.0,7.6,21.0,2010-2019
Panic Button,"Horror, Thriller",2011,"Four young men have won a trip with their favorite social network. On board the private plane that took him to New York, they are invited to participate in an in-flight entertainment: a new online gaming experience. But this is no ordinary Thurs Trapped at 30,000 feet, they will play for their lives and those of their families. They will discover the hard way that put his life online can have dire consequences ...",tt1727358,0,0.0,5.2,57.0,2010-2019
Friends with Benefits,"Romance, Comedy",2011,"Jamie is a New York-based executive recruiter who entices Dylan, an art director from Los Angeles, to take a job at the New York office of GQ magazine. Finding that they have much in common, the two become fast friends. Feeling jaded by a number of broken romances, Dylan and Jamie decide that they are ready to quit looking for true love and focus on having fun. However, complications unfold when the two best pals add sex to their relationship.",tt1632708,35000000,150483765.0,6.5,2306.0,2010-2019
Tom Papa: Live in New York City,Comedy,2011,"From the Union Square Theater in New York City, veteran comic Tom Papa discusses a variety of topics, ranging from living with the worst roommates in the world to the difficulties of keeping up with rapidly changing technology.",tt1910649,0,0.0,4.5,2.0,2010-2019
Somebody's Hero,"Comedy, Family, Romance",2011,"An average New York accountant tries to fill the boots of a movie-based superhero. Dennis, a lonely New York accountant accidentally stops a costume shop robbery while he’s trying on a “Man America” superhero outfit. The whole clumsy fight is captured on security cameras and when the video hits the news he becomes the center of a media-frenzy. Everyone wants to know “who is Man America?!” And “when is he coming back?!” The only person who knows his true identity convinces him that the people of New York have new hope and that they need him. Without any superpowers and armed with nothing but a silly costume he dives into the superhero business. At first things look up at work and with his new girlfriend, but not for long!",tt1504489,0,0.0,6.1,6.0,2010-2019
Page One: Inside the New York Times,Documentary,2011,Unprecedented access to the New York Times newsroom yields a complex view of the transformation of a media landscape fraught with both peril and opportunity.,tt1787777,0,429766.0,7.1,20.0,2010-2019
The Sunset Limited,Drama,2011,"Based on the play of the same name by Pulitzer Prize Winner Cormac McCarthy, this searing two-character drama mixes humor and pathos while examining the relationship between strangers who are brought together by desperate circumstances. Set in a New York tenement apartment, the story focuses on two very different men - a deeply religious black ex-con who thwarts the suicide attempt of an asocial white college professor who tried to throw himself in front of an oncoming subway train, 'The Sunset Limited.' As the one attempts to connect on a rational, spiritual and emotional level, the other remains steadfast in his hard-earned despair. Locked in a philosophical debate, both passionately defend their personal credos and try to convert the other.",tt1510938,0,0.0,7.1,110.0,2010-2019
Mr. Popper's Penguins,"Comedy, Family",2011,"Jim Carrey stars as Tom Popper, a successful businessman who’s clueless when it comes to the really important things in life...until he inherits six “adorable” penguins, each with its own unique personality. Soon Tom’s rambunctious roommates turn his swank New York apartment into a snowy winter wonderland — and the rest of his world upside-down.",tt1396218,55000000,187361754.0,5.7,775.0,2010-2019
The Resident,"Thriller, Mystery",2011,"Juliet, a beautiful doctor, has found the perfect New York apartment to start a new life after separating from her husband. It's got spacious rooms, a spectacular view, and a handy, handsome landlord. But there are secrets behind every wall and terror in every room as Juliet gets the unnerving feeling that she is not alone.",tt1334102,20000000,0.0,5.3,168.0,2010-2019
The Adjustment Bureau,"Science Fiction, Thriller, Romance",2011,"A man glimpses the future Fate has planned for him – and chooses to fight for his own destiny. Battling the powerful Adjustment Bureau across, under and through the streets of New York, he risks his destined greatness to be with the only woman he's ever loved.",tt1385826,50200000,127869379.0,6.5,1677.0,2010-2019
Catfish,Documentary,2010,"Nev, a 24-year-old New York-based photographer, has no idea what he's in for when Abby, an eight-year-old girl from rural Michigan, contacts him on Facebook, seeking permission to paint one of his photographs. When he receives her remarkable painting, Nev begins a friendship and correspondence with Abby's family. But things really get interesting when he develops a cyber-romance with Abby's attractive older sister, Megan, a musician and model. Prompted by some startling revelations about Megan, Nev and his buddies embark on a road trip in search of the truth.",tt1584016,30000,3045943.0,6.5,201.0,2010-2019
Step Up 3D,"Drama, Romance",2010,"A tight-knit group of New York City street dancers, including Luke and Natalie, team up with NYU freshman Moose, and find themselves pitted against the world's best hip hop dancers in a high-stakes showdown that will change their lives forever.",tt1193631,30000000,159291809.0,6.6,595.0,2010-2019
Going the Distance,"Comedy, Drama, Romance",2010,"Erin and Garrett are very much in love. When Erin moves to San Francisco to finish her journalism degree and Garrett stays behind in New York to work in the music industry, they gamely keep the romance alive with webcams and frequent-flyer miles. But just when it seems the lovers will soon be reunited, they each score a big break that could separate them for good.",tt1322312,32000000,42045846.0,6.0,271.0,2010-2019
The Best and the Brightest,Comedy,2010,"Set in the world of New York City's elite private kindergartens, The Best and the Brightest centers on a fresh-faced young couple, Samantha and Jeff, who have only recently moved into town. The comedy centers on their dawning realization of the lengths they must go to in order to get their five-year-old daughter into school.",tt1438251,0,0.0,4.4,9.0,2010-2019
The Lottery,"Documentary, Thriller",2010,"Four children enter a high-stakes lottery. If they win, they can attend one of the best schools in New York. A look at the crisis in public education, The Lottery makes the case than any child can succeed.",tt1515935,0,0.0,5.0,1.0,2010-2019
Jack Goes Boating,"Comedy, Drama, Romance",2010,"A limo driver's blind date sparks a tale of love, betrayal, friendship, and grace centered around two working-class New York City couples.",tt1278379,0,538000.0,6.1,39.0,2010-2019
Winning Time: Reggie Miller vs. The New York Knicks,Documentary,2010,"Reggie Miller single-handedly crushed the hearts of Knick fans multiple times. But it was the 1995 Eastern Conference Semifinals that solidified Miller as Public Enemy #1 in New York City. With moments to go in Game 1, and facing a seemingly insurmountable deficit of 105-99, Miller scored eight points in 8.9 seconds to give his Indiana Pacers an astonishing victory. This career-defining performance, combined with his give-and-take with Knicks fan Spike Lee, made Miller and the Knicks a highlight of the 1995 NBA playoffs. Peabody Award-winning director Dan Klores will explore how Miller proudly built his legend as ""The Garden's Greatest Villain"".",tt1501757,0,0.0,8.2,8.0,2010-2019
Silly Little Game,Documentary,2010,"Fantasy Sports is estimated to be a $4 billion industry that boasts over 30 million participants and a league for almost every sport imaginable. But for all this success, the story of the game’s inception is little known. The modern fantasy leagues can be traced back to a group of writers and academics who met at La Rotisserie Francaise in New York City to form a baseball league of their own: The Rotisserie League. The game quickly grew in popularity, and with the growing use and attractiveness of the Internet, the “founding fathers” never foresaw how their creation would take off and ultimately leave them behind. Innovative filmmakers Adam Kurland and Lucas Jansen will chronicle the early development and ultimate explosion of Rotisserie Baseball, and shine a light on its mostly unnoticed innovators.",tt1493940,0,0.0,4.3,2.0,2010-2019
Fair Game,"Drama, Thriller",2010,"Wife and mother Valerie Plame (Naomi Watts) has a double life as a CIA operative, hiding her vocation from family and friends. Her husband, Joseph Wilson (Sean Penn), writes a controversial article in The New York Times, refuting stories about the sale of enriched uranium to Iraq, Then Valerie's secret work and identity is leaked to the press. With her cover blown and other people endangered, Valerie's career and personal life begin to unravel.",tt0977855,22000000,24188922.0,6.5,239.0,2010-2019
All Good Things,"Drama, Mystery, Thriller, Crime, Romance",2010,"Newly-discovered facts, court records and speculation are used to elaborate the true love story and murder mystery of the most notorious unsolved murder case in New York history.",tt1175709,0,0.0,5.9,294.0,2010-2019
Morning Glory,"Comedy, Drama, Romance",2010,"A young and devoted morning television producer is hired as an executive producer on a  long-running morning show at a once-prominent but currently failing station in New York City. Eager to keep the show on air, she recruits a former news journalist and anchor who disapproves of co-hosting a show that does not deal with real news stories.",tt1126618,40000000,58785180.0,6.1,420.0,2010-2019
Tiny Furniture,"Romance, Comedy, Drama",2010,"After graduating from film school, Aura returns to New York to live with her photographer mother, Siri, and her sister, Nadine, who has just finished high school. Aura is directionless and wonders where to go next in her career and her life. She takes a job in a restaurant and tries unsuccessfully to develop relationships with men, including Keith, a chef where she works, and cult Internet star Jed.",tt1570989,65000,416498.0,5.6,60.0,2010-2019
Pixels,Science Fiction,2010,New York City is invaded by 8-bit creatures.,tt1635656,0,0.0,6.8,17.0,2010-2019
Client 9: The Rise and Fall of Eliot Spitzer,Documentary,2010,"This documentary feature takes an in-depth look at the rapid rise and dramatic fall of New York Governor Eliot Spitzer. Nicknamed ""The Sheriff of Wall Street,"" when he was NY's Attorney General, Eliot Spitzer prosecuted crimes by America’s largest financial institutions and some of the most powerful executives in the country. After his election as Governor, with the largest margin in the state's history, many believed Spitzer was on his way to becoming the nation's first Jewish President. Then, shockingly, Spitzer’s meteoric rise turned into a precipitous fall when the New York Times revealed that Spitzer - the paragon of rectitude - had been caught seeing prostitutes.",tt1638362,0,0.0,6.5,11.0,2010-2019
Kathleen Madigan: Gone Madigan,Comedy,2010,"Finally, a comedian who isn't whining, insulting or self-loathing. Kathleen Madigan is just brilliantly funny and is still, after 20 years in the business, actually having fun. In this hilarious stand-up special, shot at the Gramercy Theater in New York City, Kathleen takes on politics, American culture and her family who has given her full permission to sell them down them down the river. Winner of the American Comedy Award for Best Female Comic, Madigan has been seen over 12 times on The Tonight Show, The Late Show with David Letterman, The View, Dr. Phil, ESPN, The Joy Behar Show and has had her own specials on HBO and Comedy Central. Madigan was the only comedian in the history of NBC's Last Comic Standing to go unchallenged by any other comedian. She lives in Los Angeles but spends inordinate amounts of time with her family in the Missouri Ozarks.",tt1820451,0,0.0,6.8,4.0,2010-2019
Giallo,"Crime, Horror, Mystery, Thriller",2010,"In Torino, Celine, an American model, is abducted by a taxi driver while en route home to meet her sister Linda, visiting at her apartment. The next morning, Linda reports that Celine is missing - the sergeant in charge directs her to F.B.I. agent Inspector Enzo Avolfi. He's from the Special New York City Department investigating a serial-killer that kidnaps foreigners to destroy their beauty. When a Japanese woman is found at nearby a fountain, Enzo and Linda find that the girl is calling the abductor's skin is ""Yellow"" in color and Linda concludes that the guy might have jaundice. They go to the Policlinic di Torino to find the killer.",tt1107816,14000000,0.0,4.2,38.0,2010-2019
Five Minarets in New York,Drama,2010,"Two Turkish anti-terrorist agents are sent to New York City on a mission to find and bring back the dangerous Islamic leader codenamed ""Dajjal"", believed to be hiding in there. Working with the FBI and NYPD, the agents orchestrate the arrest of Hadji Gumus, a well-respected Muslim scholar and family man who years before fled to the United States after being released from a Turkish prison, where he served time for murder. This tale love, friendship, peace and prejudices, takes us on a journey seeking to answer the question of whether innocence or guilt even matters to one who lusts for vengeance.",tt1686039,12000000,0.0,6.5,27.0,2010-2019
The Other Guys,"Action, Comedy, Crime",2010,"NYPD detectives Christopher Danson (Johnson) and P.K. Highsmith (Jackson) are the baddest and most beloved cops in New York City. They don't get tattoos, other men get tattoos of them. Two desks over and one back, sit detectives Allen Gamble (Ferrell) and Terry Hoitz (Wahlberg). You've seen them in the background of photos of Danson and Highsmith, out of focus and eyes closed. They're not heroes, they're ""the other guys."" But every cop has his or her day and soon Gamble and Hoitz stumble into a seemingly innocuous case no other detective wants to touch that could turn into NYC's biggest crime. It's the opportunity of their lives, but do these guys have the right stuff?",tt1386588,100000000,170432927.0,6.1,1406.0,2010-2019
Tracy Morgan: Black & Blue,Comedy,2010,"Tracy Morgan’s first stand-up special on the channel, Black and Blue. Performing at New York City’s Apollo Theater, the 30 Rock star let his demented brand of humor loose on the crowd. His jokes hit on everything from politics and airport security to borderline inappropriate quips we can’t include here. Audience members doubled over in laughter. Yup, he was that funny.",tt1772407,0,0.0,8.0,2.0,2010-2019
The Last Play at Shea,"Documentary, Music",2010,"In 1964, when the New York Mets were regarded as little more than a punch line in major league baseball, the team moved into a brand new ballpark, Shea Stadium, which was to become their home for the next forty-four years. Shea Stadium was closed (in part to create more parking space for a new stadium, Citi Field), and on July 16 and 18, 2008, Billy Joel headlined the final concerts held at the stadium. Filmmaker Paul Crowder and a camera crew were on hand for Joel's shows, and the documentary THE LAST PLAY AT SHEA chronicles his historic two-night stand, as well as exploring Joel's career, his ties to working-class New York, and how his life and career paralleled the growth of suburban Long Island and the beloved ballpark.",tt1262986,0,0.0,4.7,3.0,2010-2019
Friendship!,Comedy,2010,"A young man from East Germany travels to San Francisco to search for his father, who fled 12 years ago. Together with his best friend, he starts the journey from New York with no money and the only word they ever learned in english-lessons: ""friendship"".",tt1247657,0,0.0,6.6,57.0,2010-2019
Please Give,"Comedy, Drama",2010,"In New York City, a husband and wife butt heads with the granddaughters of the elderly woman who lives in the apartment the couple owns.",tt0878835,3000000,0.0,6.0,57.0,2010-2019
Picture Me,Documentary,2010,"A documentary filmmaker follows a model for several years, chronicling her rise from a fresh face to one that adorns billboards and magazines around the world. Go behind the scenes and chronicle the glitzy world of high fashion modeling, from photo shoots with celebrated photographers to runway shows in New York, Milan, and Paris.",tt1459052,0,11000.0,7.3,3.0,2010-2019
Death at a Funeral,Comedy,2010,"Aaron's father's funeral is today at the family home, and everything goes wrong: the funeral home delivers the wrong body, his cousin accidentally drugs her fiancé, and Aaron's successful younger brother, Ryan, flies in from New York, broke but arrogant. To top it all off, a mysterious stranger wants a word with Aaron.",tt1321509,21000000,49050886.0,5.5,248.0,2010-2019
Stonewall Uprising,Documentary,2010,"Stonewall Uprising is a 2010 American documentary film examining the events surrounding the Stonewall riots that began during the early hours of June 28, 1969. Stonewall Uprising made its theatrical debut on June 16, 2010 at the Film Forum in New York City.The movie features interviews with eyewitnesses to the incident, including NYPD deputy inspector Seymour Pine.
 The film was produced and directed by documentarians Kate Davis and David Heilbroner, and is based on the book by historian David Carter, Stonewall: The Riots That Sparked the Gay Revolution. The title theme is by Gary Lionelli.",tt1562450,0,0.0,7.0,2.0,2010-2019
The Extra Man,Comedy,2010,"THE EXTRA MAN is a sophisticated and moving comedy from filmmakers Shari Springer Berman and Robert Pulcini. THE EXTRA MAN follows Louis Ives (Paul Dano), a lonely dreamer who fancies himself the hero of an F. Scott Fitzgerald novel. When a deeply embarrassing incident forces him to leave his job at an exclusive Princeton prep school, Louis heads to New York City to make a fresh start. He quickly finds a 9 to 5 job at an environmental magazine, where he encounters an entrancing, green-obsessed co-worker Mary (Katie Holmes).",tt1361313,7000000,453079.0,5.9,29.0,2010-2019
The Four-Faced Liar,"Comedy, Drama, Romance",2010,"The Four Faced Liar is a story of love and lies for four twenty-somethings looking to find themselves in New York City... A story of love and lies for four twenty-somethings looking to find themselves in New York City. A pair of best friends and a seemingly perfect couple meet at a local Irish pub tucked in the winding streets of the West Village. Through their chance meeting, the four bond and over time all of their relationships with one another morph into love, betrayal and heartbreak for all.",tt1174693,2000000,0.0,4.9,18.0,2010-2019
Shadows & Lies,"Drama, Action, Romance",2010,"The story of William Vincent as he recounts the eccentric and curious path that has brought him, at mortal risk, to New York City, after four years in exile, to rescue a woman he scarcely knows, Ann, from the vague crime syndicate that first brought them together.",tt1453403,0,0.0,4.8,7.0,2010-2019
Bill Cunningham New York,Documentary,2010,"Chronicles a man who is obsessively interested in only one thing, the pictures he takes that document the way people dress. The 80-year-old New York Times photographer has two columns in the paper's Style section, yet nobody knows who he is.",tt1621444,0,1339650.0,7.9,31.0,2010-2019
LennoNYC,Documentary,2010,"This documentary takes an intimate look at the time Lennon, Yoko Ono and their son, Sean, spent living in New York City during the 1970s. It features never-before heard studio recordings from the Double Fantasy sessions and never-before-seen outtakes from Lennon in concert and home movies that have only recently been transferred to video. It also features exclusive interviews with Ms. Ono, who cooperated extensively with the production and offers an unprecedented level of access, as well as with artists who worked closely with Lennon during this period, including Elton John and photographer Bob Gruen (who took the iconic photograph of Lennon in front of the skyline wearing a “New York City” T-shirt).",tt1714861,0,0.0,7.3,3.0,2010-2019
